Index,Topic,Source,Bias,Headline,Byline,Date,URL,Left Bias,Left Headline,Left Source,Left URL,Right Bias,Right Headline,Right Source,Right URL,Center Bias,Center Headline,Center Source,Center URL
0,covid,The Daily Caller,Right,Biden Receives COVID-19 Vaccine,"President-elect Joe Biden received the COVID-19 coronavirus vaccine in a televised appearance Monday afternoon. Biden received the first dose of the Pfizer-BioNTech two-shot vaccine at a Delaware hospital, where he was joined by incoming First Lady Dr. Jill Biden, who received a vaccine dose earlier in the day. The Bidens' inoculation comes after Pfizer-BioNTech vaccines began distribution",Dec 21 2020,https://dailycaller.com/2020/12/21/joe-biden-coronavirus-vaccine-camera-trump-operation-warp-speed/,Lean Left,U.S. to share 60 million doses of AstraZeneca C...,NBC News (Online),https://www.nbcnews.com/politics/white-house/u-...,Right,House Democrats unveil text of COVID-19 relief ...,Breitbart News,https://www.breitbart.com/news/house-democrats-...,Center,Women report more side effects from the COVID-1...,USA TODAY,https://www.usatoday.com/story/news/health/2021...
1,covid,USA TODAY,Center,Comparing the COVID-19 vaccines,"The U.S. Food and Drug Administration has granted emergency use authorizations for three COVID-19 vaccines so far. We compare the different available shots, and several still in the approval process for use in the Untied States.",Mar 27 2021,https://www.usatoday.com/in-depth/graphics/2021/03/27/comparing-covid-19-vaccines/6806600002/,Lean Left,U.S. Rushes to Expand Covid Vaccine Eligibility...,New York Times (News),https://www.nytimes.com/2021/03/19/us/vaccine-e...,Right,Nearly 40% Of Marines Opted Out Of The COVID-19...,The Daily Caller,https://dailycaller.com/2021/04/10/report-nearl...,Center,Here Is What's In The COVID-19 Relief Package,NPR (Online News),https://www.npr.org/2020/12/21/948744901/here-i...
2,covid,HuffPost,Left,Catching COVID-19 After Vaccination: What To Know,"The coronavirus vaccines have been hailed as miracles of science and technology, and rightly so. Because of widespread vaccination, the average number of new COVID-19 cases in the United States is the lowest it’s been since last fall. Hospitalizations and deaths among elderly Americans have plummeted. As Anthony Fauci, the nation’s top infectious disease expert, exhorts us all: be “really",May 04 2021,https://www.huffpost.com/entry/covid-19-after-vaccination_l_60902c0be4b09cce6c21556c,Lean Left,President Biden signs $1.9T Covid relief stimul...,NBC News (Online),https://www.nbcnews.com/politics/white-house/bi...,Lean Right,Teachers Should Get the Covid Vaccine First,Wall Street Journal (Opinion),https://www.wsj.com/articles/teachers-should-ge...,Center,Covid-19: US to advise against travel to 80% of...,BBC News,https://www.bbc.com/news/world-us-canada-56813852
3,covid,Wall Street Journal (News),Center,Vaccines Appear to Be Slowing Spread of Covid-19 Infections,"Vaccines appear to be starting to curb new Covid-19 infections in the U.S., a breakthrough that could help people return to more normal activities as infection worries fade, public-health officials say.",May 03 2021,https://www.wsj.com/articles/vaccines-appear-to-be-slowing-spread-of-covid-19-infections-11619615436,Left,Covid-19's threat to European unity,CNN (Opinion),https://www.cnn.com/2020/05/07/opinions/europea...,Lean Right,The Second Wave Covid Scare,Wall Street Journal (Opinion),https://www.wsj.com/articles/the-second-wave-co...,Center,Facebook freezes Maduro's page over Covid claim,BBC News,https://www.bbc.com/news/world-latin-america-56...
4,covid,New York Post (News),Lean Right,CDC announces updated COVID-19 mask guidelines,"Vaccinated Americans can now breathe a big, deep sigh of relief.",Apr 27 2021,https://nypost.com/2021/04/27/cdc-announces-updated-covid-19-mask-guidelines/,Lean Left,Half of U.S. adults have received at least one ...,CBS News (Online),https://www.cbsnews.com/news/coronavirus-vaccin...,Lean Right,'Breakthrough' COVID-19 reported in 4 fully vac...,Fox News (Online News),https://www.foxnews.com/health/breakthrough-cov...,Center,Covid vaccine: WHO warns of 'catastrophic moral...,BBC News,https://www.bbc.com/news/world-55709428
5,covid,New York Times (News),Lean Left,Millions Are Skipping Their Second Doses of Covid Vaccines,"Millions of Americans are not getting the second doses of their Covid-19 vaccines, and their ranks are growing.",Apr 27 2021,https://www.nytimes.com/2021/04/25/business/covid-vaccines-second-doses.html,Left,Covid-19 vaccinations are climbing. But familia...,CNN (Online News),https://www.cnn.com/2021/04/09/us/us-covid-vacc...,Right,Trump: COVID-19 Vaccine Developments Getting 'P...,Breitbart News,https://www.breitbart.com/2020-election/2020/09...,Center,Covid-19 paused climate emissions – but they're...,BBC News,https://www.bbc.com/future/article/20210312-cov...
6,covid,CNN (Online News),Left,"Meet Gen C, the Covid generation",(CNN)Natalie Sanchez heard it in her children's voices when their birthday parties were canceled and saw it on their faces when they couldn't play with friends.,Mar 11 2021,https://www.cnn.com/2021/03/11/us/covid-generation-gen-c/index.html,Left,We Fact-Checked 5 Common Bogus Claims About Vac...,Vice,https://www.vice.com/en/article/k7axaa/fact-che...,Lean Right,Pfizer expects $26 billion in 2021 sales from C...,New York Post (News),https://nypost.com/2021/05/04/pfizer-expects-26...,Center,Is Only 9% of Joe Biden's COVID Stimulus Plan G...,Newsweek,https://www.newsweek.com/fact-check-only-9-joe-...
7,covid,Wall Street Journal (Opinion),Lean Right,Covid and the New Age of Censorship,"Information has never been more plentiful or easier to distribute. Yet we are sliding into a new age of censorship and suppression, encouraged by technology giants and traditional media companies. As someone who’s been falsely characterized as a coronavirus “denier,” I have seen this crisis firsthand.",Dec 08 2020,https://www.wsj.com/articles/covid-and-the-new-age-of-censorship-11607381415,Left,Senate parliamentarian rules against including ...,CNN (Online News),https://www.cnn.com/2021/02/25/politics/minimum...,Lean Right,Biden's new COVID-19 vaccine goal aims for 160M...,Fox News (Online News),https://www.foxnews.com/health/bidens-covid-19-...,Center,FDA authorizes Pfizer-BioNTech COVID-19 vaccine...,USA TODAY,https://www.usatoday.com/story/news/health/2021...
8,covid,The Hill,Center,How the COVID year upended politics,"One year ago Thursday, then-President Trump was in with a fighting chance of reelection, Sen. Bernie Sanders (I-Vt.) still clung to some hope of becoming the Democratic presidential nominee, and the nation’s unemployment rate was under 4 percent.",Mar 11 2021,https://thehill.com/homenews/the-memo/542661-the-memo-how-the-covid-year-upended-politics,Lean Left,Swift backlash after Texas governor drops COVID...,ABC News (Online),https://abcnews.go.com/Health/swift-backlash-te...,Lean Right,AstraZeneca COVID-19 vaccine 100% effective at ...,Washington Examiner,https://www.washingtonexaminer.com/news/astraze...,Center,Supreme Court Rules For Worshippers And Against...,NPR (Online News),https://www.npr.org/2021/04/10/986010977/suprem...
9,covid,Vox,Left,Covid tongue? Why new Covid-19 symptoms keep popping up.,"Scientists say they still have more to learn about the symptoms of Covid-19 infections, long Covid, and the new variants.",Mar 05 2021,https://www.vox.com/22307256/covid-19-symptoms-tongue-variant-vaccine-long-haulers,Lean Left,Remdesivir Is the First FDA-Approved Treatment ...,Time Magazine,https://time.com/5903121/remdesivir-fda-covid-1...,Lean Right,The Second Wave Covid Scare,Wall Street Journal (Opinion),https://www.wsj.com/articles/the-second-wave-co...,Center,Women report more side effects from the COVID-1...,USA TODAY,https://www.usatoday.com/story/news/health/2021...
10,covid,New York Post (News),Lean Right,"Top scientists slam WHO, insist COVID lab leak theory is ‘viable’",A group of top scientists from around the globe has pushed back on the World Health Organization’s conclusion that it is “extremely unlikely” COVID-19 leaked from a Wuhan lab — insisting the theory is “viable” and deserves “a proper investigation.”,May 14 2021,https://nypost.com/2021/05/14/top-us-scientists-insist-covid-lab-leak-theory-is-viable/,Left,"Meet Gen C, the Covid generation",CNN (Online News),https://www.cnn.com/2021/03/11/us/covid-generat...,Lean Right,"US COVID-19 deaths exceed 250,000",Washington Examiner,https://www.washingtonexaminer.com/news/us-covi...,Center,Covid-19 Is Dividing the American Worker,Wall Street Journal (News),https://www.wsj.com/articles/covid-19-is-dividi...
11,covid,The Daily Caller,Right,Perspectives: Trump's Last Negative COVID-19 Test,"Since President Donald Trump announced Thursday he had tested positive for coronavirus, some have questioned when the president's last negative test was. White House physician Sean Conley said Monday he didn't know when the president's last negative coronavirus test was; some reports from the White House medical team seem to suggest that Trump received a positive coronavirus test sometime",Oct 07 2020,https://dailycaller.com/2020/10/07/white-house-trump-coronavirus-test-negative/,Lean Left,Congressional leaders near deal on Covid relief,Politico,https://www.politico.com/news/2020/12/16/congre...,Lean Right,COVID-19 vaccinations might become mandatory at...,Fox News (Online News),https://www.foxnews.com/us/covid-19-vaccination...,Center,House Set to Approve Covid-19 Relief Bill,Wall Street Journal (News),https://www.wsj.com/articles/house-set-to-appro...
12,covid,New York Times (News),Lean Left,UK Begins Distribution of Pfizer COVID-19 Vaccine,"The United Kingdom has begun distributing the world’s first fully tested, clinically authorized COVID-19 coronavirus vaccine. The first recipient was a 90-year-old woman named Margaret Keenan, followed by an 81-year-old man named William Shakespeare. The vaccine, developed by American pharmaceutical company Pfizer and German biotechnology company BioNTech, was approved by British authorities",Dec 08 2020,https://www.nytimes.com/2020/12/07/world/pfizers-vaccine-debuts-in-britain-as-the-worlds-first-fully-tested-vaccine.html,Lean Left,FDA Endorses Moderna's COVID-19 Vaccine for Eme...,Washington Post,https://www.washingtonpost.com/health/2020/12/1...,Lean Right,Mother's Day amid COVID – I know how hard this ...,Fox News (Online News),https://www.foxnews.com/opinion/mothers-day-cov...,Center,How the COVID year upended politics,The Hill,https://thehill.com/homenews/the-memo/542661-th...
13,covid,The Hill,Center,Fauci: 'No doubt' US has undercounted COVID-19 deaths,"Anthony Fauci, a member of the White House COVID-19 response team and President Biden's chief medical adviser, said Sunday that he believes it is likely that the U.S. has undercounted the number of deaths caused by the COVID-19 pandemic.",May 09 2021,https://thehill.com/homenews/sunday-talk-shows/552523-fauci-no-doubt-us-has-undercounted-covid-19-deaths,Left,The Places Hit Hardest by COVID Went Overwhelmi...,Vice,https://www.vice.com/en/article/y3gdp7/the-plac...,Lean Right,White House says Trump's COVID language elevate...,Washington Examiner,https://www.washingtonexaminer.com/news/atlanta...,Center,U.S. Hits Half a Million COVID Deaths Even as C...,Newsweek,https://www.newsweek.com/us-hits-half-million-c...
14,covid,Time Magazine,Lean Left,Biden Announces Members of COVID-19 Advisory Board,"Projected 2020 presidential election winner Joe Biden's transition team announced members of its COVID-19 Advisory Board on Monday. The board, described as “leading public health and scientific experts to advise the transition on COVID-19 response,” will be co-chaired by former Food and Drug Administration Commissioner Dr. David Kessler, former Surgeon General Vivek Murthy and Yale professor",Nov 09 2020,https://time.com/5909531/biden-harris-covid-19-advisory-board/,Lean Left,U.S. Rushes to Expand Covid Vaccine Eligibility...,New York Times (News),https://www.nytimes.com/2021/03/19/us/vaccine-e...,Lean Right,US to restrict travel from India over COVID surge,New York Post (News),https://nypost.com/2021/04/30/us-to-restrict-tr...,Center,FDA authorizes Pfizer-BioNTech COVID-19 vaccine...,USA TODAY,https://www.usatoday.com/story/news/health/2021...
15,covid,Breitbart News,Right,Trump: COVID-19 Vaccine Developments Getting 'Political',"President Donald Trump said he might consider rejecting the Food and Drug Administration's (FDA) new strict vaccine guidelines in a press conference Wednesday. In response to a question about the FDA's new guidelines at the press briefing, Trump said, ""That sounds like a political move."" The president has previously promised a vaccine before the end of the year, contradicting Centers for",Sep 24 2020,https://www.breitbart.com/2020-election/2020/09/23/trump-fda-coronavirus-vaccine-standard-political-move/,Left,Catching COVID-19 After Vaccination: What To Know,HuffPost,https://www.huffpost.com/entry/covid-19-after-v...,Lean Right,'Breakthrough' COVID-19 reported in 4 fully vac...,Fox News (Online News),https://www.foxnews.com/health/breakthrough-cov...,Center,Supreme Court Rules For Worshippers And Against...,NPR (Online News),https://www.npr.org/2021/04/10/986010977/suprem...
16,covid,New York Times (News),Lean Left,Russia Announces World’s First COVID-19 Vaccine,"On Tuesday, Russian President Vladimir Putin announced that Russia had granted regulatory approval for the world’s first coronavirus vaccine, developed by the Moscow-based Gamaleya Institute. Putin claimed that the vaccine, named “Sputnik V,” was safe and effective, and that it had already been given to his daughter. The vaccine has garnered scientific skepticism since it was hinted at last",Aug 11 2020,https://www.nytimes.com/2020/08/11/world/europe/russia-coronavirus-vaccine-approval.html,Lean Left,Twitter targets Covid vaccine misinformation wi...,The Guardian,https://www.theguardian.com/technology/2021/mar...,Lean Right,"Top scientists slam WHO, insist COVID lab leak ...",New York Post (News),https://nypost.com/2021/05/14/top-us-scientists...,Center,House Set to Approve Covid-19 Relief Bill,Wall Street Journal (News),https://www.wsj.com/articles/house-set-to-appro...
17,covid,CBS News (Online),Lean Left,Moderna says its COVID-19 vaccine is 96% effective in teens,"Moderna's COVID-19 vaccine is 96% effective in teenagers 12- to 17-years-old, the drugmaker said Thursday. The company announced results of the Phase 2 trial in reporting first-quarter earnings. Its  vaccine generated $1.7 billion in revenue in its fiscal first quarter.",May 06 2021,https://www.cbsnews.com/news/moderna-covid-19-vaccine-teens-effective/,Left,Covid tongue? Why new Covid-19 symptoms keep po...,Vox,https://www.vox.com/22307256/covid-19-symptoms-...,Lean Right,CDC announces updated COVID-19 mask guidelines,New York Post (News),https://nypost.com/2021/04/27/cdc-announces-upd...,Center,U.S. Unemployment Claims Hit New Covid-19 Pande...,Wall Street Journal (News),https://www.wsj.com/articles/weekly-jobless-cla...
18,covid,The Hill,Center,Moderna says COVID-19 vaccine 96 percent effective in teens,"Moderna on Thursday released the results of its COVID-19 vaccine trials for those aged 12 to 17, reporting it 96 percent effective against the virus.",May 06 2021,https://thehill.com/policy/healthcare/552168-moderna-says-covid-19-vaccine-96-percent-effective-in-teens,Left,Americans have been shockingly good at getting ...,Vox,https://www.vox.com/coronavirus-covid19/2233202...,Lean Right,Biden to tout US passing 200 million COVID-19 v...,New York Post (News),https://nypost.com/2021/04/21/biden-to-tout-us-...,Center,Women report more side effects from the COVID-1...,USA TODAY,https://www.usatoday.com/story/news/health/2021...
